size	dataType	view	cell	lab	geoSampleAccession	dccAccession	dataVersion	softwareVersion	type	md5sum	geoSampleAccesion	dateSubmitted	controlId	grant	dateResubmitted	origAssembly	treatment	replicate	antibody	control	setType	tableName	protocol	labExpId	localization	rnaExtract	strand	labVersion	labProtocolId	bioRep	project	composite	readType	dateUnrestricted	seqPlatform	spikeInPool	objStatus	subId	filename
2.9M	DnaseSeq	Peaks	8988T	Duke	GSM816667	wgEncodeEH001103	ENCODE Jan 2011 Freeze	HotSpot	bigBed	22872e389c2161f444c2a0fccc292b19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnase8988T.fdr01peaks.hg19.bb
2.7M	DnaseSeq	Peaks	AoSMC	Duke	GSM816638	NA	ENCODE Jan 2011 Freeze	HotSpot	bigBed	65c7ab3281919a856f5e633e22bd0eeb	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseAoSMC.fdr01peaks.hg19.bb
2.7M	DnaseSeq	Peaks	Chorion	Duke	GSM816628	wgEncodeEH000595	ENCODE Jan 2011 Freeze	HotSpot	bigBed	882285a7a110e75b00fde954c0fcb5d0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseChorion.fdr01peaks.hg19.bb
1.7M	DnaseSeq	Peaks	CLL	Duke	GSM816664	wgEncodeEH001104	ENCODE Jan 2011 Freeze	HotSpot	bigBed	e9b88476eb8d10f12ccd16d37101afa2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseCLL.fdr01peaks.hg19.bb
5.2M	DnaseSeq	Peaks	Fibrobl	Duke	GSM816652	wgEncodeEH000583	ENCODE Jan 2011 Freeze	HotSpot	bigBed	7dd7ca8817462f7f92b48f98730fa60d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseFibrobl.fdr01peaks.hg19.bb
3.6M	DnaseSeq	Peaks	FibroP	Duke	GSM816626	wgEncodeEH000605	ENCODE Jan 2011 Freeze	HotSpot	bigBed	c1527d77a7592569d141fc889a1b03d8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseFibroP.fdr01peaks.hg19.bb
2.7M	DnaseSeq	Peaks	Gliobla	Duke	GSM816668	wgEncodeEH001100	ENCODE Jan 2011 Freeze	HotSpot	bigBed	b192eb6bc5bf7279bb65b62a2f1f9190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseGliobla.fdr01peaks.hg19.bb
2.3M	DnaseSeq	Peaks	GM12891	Duke	GSM816656	wgEncodeEH000564	ENCODE Jan 2011 Freeze	HotSpot	bigBed	ee6fe3d8d051a6b3fee71a03cdc9b88e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseGM12891.fdr01peaks.hg19.bb
2.5M	DnaseSeq	Peaks	GM12892	Duke	GSM816657	wgEncodeEH000565	ENCODE Jan 2011 Freeze	HotSpot	bigBed	a44b171e00ef4142de6725897c61e9e5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseGM12892.fdr01peaks.hg19.bb
1.9M	DnaseSeq	Peaks	GM18507	Duke	GSM816653	wgEncodeEH000581	ENCODE Jan 2011 Freeze	HotSpot	bigBed	882467555b1b225c5b7419d28f6413a5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeDukeDnaseGM18507.fdr01peaks.hg19.bb
