project	grant	lab	cell	type	replicate	protocol	composite	dataType	view	treatment	antibody	control	origAssembly	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	setType	controlId	labExpId	labVersion	md5sum	size	geoSampleAccession	dateResubmitted	filename	objStatus	submittedDataVersion	fileEnding	composite.cntrl	dataType.cntrl	view.cntrl	treatment.cntrl	antibody.cntrl	control.cntrl	origAssembly.cntrl	dataVersion.cntrl	dccAccession.cntrl	dateSubmitted.cntrl	dateUnrestricted.cntrl	subId.cntrl	setType.cntrl	controlId.cntrl	labExpId.cntrl	labVersion.cntrl	md5sum.cntrl	size.cntrl	geoSampleAccession.cntrl	dateResubmitted.cntrl	filename.cntrl	fileEnding.cntrl	localization	rnaExtract	readType	bioRep	seqPlatform	spikeInPool	dccInternalNotes	localFile	downloadCmd	localFile.cntrl	cntrlName	expName	name	nameFile	narrowPeak	narrowPeakDsExon	tag
wgEncode	Myers	HudsonAlpha	H1hESC	bam	1	v041610.2	wgEncodeHaibTfbs	ChipSeq	Alignments	None	CTCF_(SC-5916)	NA	NA	ENCODE Jan 2011 Freeze	wgEncodeEH001649	2011-01-21	2011-10-21	3491	exp	SL1398	SL2688	NA	8ab3121c0ea78a7ffe8c4a2d80ea7cb5	875M	GSM803419	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep1.bam	NA	NA	wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep1.bam	wgEncodeHaibTfbs	ChipSeq	Alignments	None	RevXlinkChromatin	NA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001497	2011-01-05	2011-10-05	3754	input	SL969	SL969	NA	97a0e334f9f6c85e0cfc30ccb286e3ef	2.6G	GSM803364	2011-03-07	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsH1hescRxlchV0416102AlnRep1.bam	wgEncodeHaibTfbsH1hescRxlchV0416102AlnRep1.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep1.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep1.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep1.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsH1hescRxlchV0416102AlnRep1.bam	HaibTfbsH1hescRxlchV0416102AlnRep1	HaibTfbsH1hescCtcfsc5916V0416102AlnRep1	HaibTfbsH1hescCtcfsc5916V0416102AlnRep1_HaibTfbsH1hescRxlchV0416102AlnRep1	/project/umw_zhiping_weng/wespisea/ctcf/macs2/HaibTfbsH1hescCtcfsc5916V0416102AlnRep1_HaibTfbsH1hescRxlchV0416102AlnRep1	/home/wespisea/data/ctcf/MACS2//HaibTfbsH1hescCtcfsc5916V0416102AlnRep1_HaibTfbsH1hescRxlchV0416102AlnRep1_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//HaibTfbsH1hescCtcfsc5916V0416102AlnRep1_HaibTfbsH1hescRxlchV0416102AlnRep1_peaks.narrowPeak_exonCosi	H1hESC_HudsonAlpha_1
wgEncode	Myers	HudsonAlpha	HepG2	bam	1	v041610.1	wgEncodeHaibTfbs	ChipSeq	Alignments	None	CTCF_(SC-5916)	NA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001516	2010-01-06	2010-10-06	3824	exp	SL1781	SL3176	NA	424e96c2b06b0b714b0c1fc4fe84ccf7	1.2G	GSM803486	2011-03-23	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep1.bam	NA	NA	wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep1.bam	wgEncodeHaibTfbs	ChipSeq	Alignments	None	RevXlinkChromatin	NA	hg19	ENCODE Jan 2011 Freeze	wgEncodeEH001596	2011-01-07	2011-10-07	3132	input	SL1781	SL1781	NA	4aca211c2f48cf08966328fb83241c88	1.1G	GSM803463	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsHepg2RxlchV0416101AlnRep1.bam	wgEncodeHaibTfbsHepg2RxlchV0416101AlnRep1.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep1.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep1.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep1.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsHepg2RxlchV0416101AlnRep1.bam	HaibTfbsHepg2RxlchV0416101AlnRep1	HaibTfbsHepg2Ctcfsc5916V0416101AlnRep1	HaibTfbsHepg2Ctcfsc5916V0416101AlnRep1_HaibTfbsHepg2RxlchV0416101AlnRep1	/project/umw_zhiping_weng/wespisea/ctcf/macs2/HaibTfbsHepg2Ctcfsc5916V0416101AlnRep1_HaibTfbsHepg2RxlchV0416101AlnRep1	/home/wespisea/data/ctcf/MACS2//HaibTfbsHepg2Ctcfsc5916V0416101AlnRep1_HaibTfbsHepg2RxlchV0416101AlnRep1_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//HaibTfbsHepg2Ctcfsc5916V0416101AlnRep1_HaibTfbsHepg2RxlchV0416101AlnRep1_peaks.narrowPeak_exonCosi	HepG2_HudsonAlpha_1
wgEncode	Myers	HudsonAlpha	HepG2	bam	2	v041610.1	wgEncodeHaibTfbs	ChipSeq	Alignments	None	CTCF_(SC-5916)	NA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001516	2010-01-06	2010-10-06	3824	exp	SL1781	SL3582	NA	651af0c6dbd9a79884777d78b870ca88	1.3G	GSM803486	2011-03-23	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep2.bam	NA	NA	wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep2.bam	wgEncodeHaibTfbs	ChipSeq	Alignments	None	RevXlinkChromatin	NA	NA	ENCODE Jan 2011 Freeze	wgEncodeEH001596	2011-01-13	2011-10-13	3244	input	SL3976	SL3976	NA	544bc48bfecec4c24a97fe11faea229b	1.2G	GSM803463	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsHepg2RxlchV0416101AlnRep2.bam	wgEncodeHaibTfbsHepg2RxlchV0416101AlnRep2.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep2.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep2.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101AlnRep2.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsHepg2RxlchV0416101AlnRep2.bam	HaibTfbsHepg2RxlchV0416101AlnRep2	HaibTfbsHepg2Ctcfsc5916V0416101AlnRep2	HaibTfbsHepg2Ctcfsc5916V0416101AlnRep2_HaibTfbsHepg2RxlchV0416101AlnRep2	/project/umw_zhiping_weng/wespisea/ctcf/macs2/HaibTfbsHepg2Ctcfsc5916V0416101AlnRep2_HaibTfbsHepg2RxlchV0416101AlnRep2	/home/wespisea/data/ctcf/MACS2//HaibTfbsHepg2Ctcfsc5916V0416101AlnRep2_HaibTfbsHepg2RxlchV0416101AlnRep2_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//HaibTfbsHepg2Ctcfsc5916V0416101AlnRep2_HaibTfbsHepg2RxlchV0416101AlnRep2_peaks.narrowPeak_exonCosi	HepG2_HudsonAlpha_2
wgEncode	Myers	HudsonAlpha	K562	bam	1	PCR1x	wgEncodeHaibTfbs	ChipSeq	Alignments	None	CTCF_(SC-5916)	NA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002279	2012-03-21	2012-12-21	6083	exp	SL1397	SL3075	NA	2a9f709c235dcc838c035503e2c742bd	735M	NA	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep1V2.bam	NA	V2 - Original experiment was identifying NRSF motifs, incorrect file was submitted.	wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep1V2.bam	wgEncodeHaibTfbs	ChipSeq	Alignments	None	RevXlinkChromatin	NA	hg18	ENCODE Jan 2011 Freeze	wgEncodeEH001466	2011-01-19	2011-10-19	3091	input	SL518	SL518	NA	61131f9726d640aeacc9efff3972b705	2.1G	GSM803352	2010-06-21	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsK562RxlchPcr1xAlnRep1.bam	wgEncodeHaibTfbsK562RxlchPcr1xAlnRep1.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep1V2.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep1V2.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep1V2.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsK562RxlchPcr1xAlnRep1.bam	HaibTfbsK562RxlchPcr1xAlnRep1	HaibTfbsK562CtcfcPcr1xAlnRep1V2	HaibTfbsK562CtcfcPcr1xAlnRep1V2_HaibTfbsK562RxlchPcr1xAlnRep1	/project/umw_zhiping_weng/wespisea/ctcf/macs2/HaibTfbsK562CtcfcPcr1xAlnRep1V2_HaibTfbsK562RxlchPcr1xAlnRep1	/home/wespisea/data/ctcf/MACS2//HaibTfbsK562CtcfcPcr1xAlnRep1V2_HaibTfbsK562RxlchPcr1xAlnRep1_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//HaibTfbsK562CtcfcPcr1xAlnRep1V2_HaibTfbsK562RxlchPcr1xAlnRep1_peaks.narrowPeak_exonCosi	K562_HudsonAlpha_1
wgEncode	Myers	HudsonAlpha	K562	bam	2	PCR1x	wgEncodeHaibTfbs	ChipSeq	Alignments	None	CTCF_(SC-5916)	NA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002279	2011-06-29	2012-03-27	4813	exp	SL1396	SL5605	NA	59fc32ff2c5988b29fec74a3b97b842f	1.1G	NA	2011-09-02	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep2V2.bam	NA	V2 - Replacement files for incorrectly duplicated files	wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep2V2.bam	wgEncodeHaibTfbs	ChipSeq	Alignments	None	RevXlinkChromatin	NA	hg18	ENCODE Jan 2011 Freeze	wgEncodeEH001466	2011-01-19	2011-10-19	3091	input	SL519	SL519	NA	3ff15493e7f139d2ec21042a7890adf9	1.2G	GSM803352	2010-06-21	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsK562RxlchPcr1xAlnRep2.bam	wgEncodeHaibTfbsK562RxlchPcr1xAlnRep2.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep2V2.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep2V2.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsK562CtcfcPcr1xAlnRep2V2.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsK562RxlchPcr1xAlnRep2.bam	HaibTfbsK562RxlchPcr1xAlnRep2	HaibTfbsK562CtcfcPcr1xAlnRep2V2	HaibTfbsK562CtcfcPcr1xAlnRep2V2_HaibTfbsK562RxlchPcr1xAlnRep2	/project/umw_zhiping_weng/wespisea/ctcf/macs2/HaibTfbsK562CtcfcPcr1xAlnRep2V2_HaibTfbsK562RxlchPcr1xAlnRep2	/home/wespisea/data/ctcf/MACS2//HaibTfbsK562CtcfcPcr1xAlnRep2V2_HaibTfbsK562RxlchPcr1xAlnRep2_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//HaibTfbsK562CtcfcPcr1xAlnRep2V2_HaibTfbsK562RxlchPcr1xAlnRep2_peaks.narrowPeak_exonCosi	K562_HudsonAlpha_2
wgEncode	Myers	HudsonAlpha	MCF7	bam	1	v042211.1	wgEncodeHaibTfbs	ChipSeq	Alignments	None	CTCF_(SC-5916)	NA	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003257	2012-07-26	2013-04-26	7612	exp	SL13504	SL13463	NA	f1dbbf16bbfc244caaa19832c75fee3c	1.7G	NA	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep1.bam	NA	NA	wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep1.bam	wgEncodeHaibTfbs	ChipSeq	Alignments	None	RevXlinkChromatin	NA	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003428	2012-07-31	2013-05-01	7052	input	SL13504	SL13504	NA	5e6f1ddb16533dd1a183885e51762650	1.7G	NA	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsMcf7RxlchV0422111AlnRep1.bam	wgEncodeHaibTfbsMcf7RxlchV0422111AlnRep1.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep1.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep1.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep1.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsMcf7RxlchV0422111AlnRep1.bam	HaibTfbsMcf7RxlchV0422111AlnRep1	HaibTfbsMcf7CtcfcV0422111AlnRep1	HaibTfbsMcf7CtcfcV0422111AlnRep1_HaibTfbsMcf7RxlchV0422111AlnRep1	/project/umw_zhiping_weng/wespisea/ctcf/macs2/HaibTfbsMcf7CtcfcV0422111AlnRep1_HaibTfbsMcf7RxlchV0422111AlnRep1	/home/wespisea/data/ctcf/MACS2//HaibTfbsMcf7CtcfcV0422111AlnRep1_HaibTfbsMcf7RxlchV0422111AlnRep1_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//HaibTfbsMcf7CtcfcV0422111AlnRep1_HaibTfbsMcf7RxlchV0422111AlnRep1_peaks.narrowPeak_exonCosi	MCF7_HudsonAlpha_1
wgEncode	Myers	HudsonAlpha	MCF7	bam	2	v042211.1	wgEncodeHaibTfbs	ChipSeq	Alignments	None	CTCF_(SC-5916)	NA	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003257	2012-07-26	2013-04-26	7612	exp	SL16757	SL16333	NA	0eb5b395e1819a0a8c1a36934a5dc999	1.2G	NA	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep2.bam	NA	NA	wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep2.bam	wgEncodeHaibTfbs	ChipSeq	Alignments	None	RevXlinkChromatin	NA	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003428	2012-07-31	2013-05-01	7052	input	SL16756	SL16756	NA	794c0a17843d162985592072f2dfc575	1.5G	NA	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsMcf7RxlchV0422111AlnRep2.bam	wgEncodeHaibTfbsMcf7RxlchV0422111AlnRep2.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep2.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep2.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsMcf7CtcfcV0422111AlnRep2.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsMcf7RxlchV0422111AlnRep2.bam	HaibTfbsMcf7RxlchV0422111AlnRep2	HaibTfbsMcf7CtcfcV0422111AlnRep2	HaibTfbsMcf7CtcfcV0422111AlnRep2_HaibTfbsMcf7RxlchV0422111AlnRep2	/project/umw_zhiping_weng/wespisea/ctcf/macs2/HaibTfbsMcf7CtcfcV0422111AlnRep2_HaibTfbsMcf7RxlchV0422111AlnRep2	/home/wespisea/data/ctcf/MACS2//HaibTfbsMcf7CtcfcV0422111AlnRep2_HaibTfbsMcf7RxlchV0422111AlnRep2_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//HaibTfbsMcf7CtcfcV0422111AlnRep2_HaibTfbsMcf7RxlchV0422111AlnRep2_peaks.narrowPeak_exonCosi	MCF7_HudsonAlpha_2
wgEncode	Myers	HudsonAlpha	SKNSH_RA	bam	1	v041610.2	wgEncodeHaibTfbs	ChipSeq	Alignments	None	CTCF	NA	NA	ENCODE Jan 2011 Freeze	wgEncodeEH001613	2010-12-17	2011-09-17	3109	exp	SL2905	SL2906	NA	6a307ab92b4290c2a50292ca9e16fa93	520M	GSM803333	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep1.bam	NA	NA	wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep1.bam	wgEncodeHaibTfbs	ChipSeq	Alignments	None	RevXlinkChromatin	NA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001606	2010-12-01	2011-09-01	3753	input	SL2905	SL2905	NA	61b2c38daceaaf6c25444cadf00ca381	978M	GSM803526	2011-03-04	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsSknshraRxlchV0416102AlnRep1.bam	wgEncodeHaibTfbsSknshraRxlchV0416102AlnRep1.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep1.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeHaibTfbs/wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep1.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep1.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeHaibTfbsSknshraRxlchV0416102AlnRep1.bam	HaibTfbsSknshraRxlchV0416102AlnRep1	HaibTfbsSknshraCtcfV0416102AlnRep1	HaibTfbsSknshraCtcfV0416102AlnRep1_HaibTfbsSknshraRxlchV0416102AlnRep1	/project/umw_zhiping_weng/wespisea/ctcf/macs2/HaibTfbsSknshraCtcfV0416102AlnRep1_HaibTfbsSknshraRxlchV0416102AlnRep1	/home/wespisea/data/ctcf/MACS2//HaibTfbsSknshraCtcfV0416102AlnRep1_HaibTfbsSknshraRxlchV0416102AlnRep1_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//HaibTfbsSknshraCtcfV0416102AlnRep1_HaibTfbsSknshraRxlchV0416102AlnRep1_peaks.narrowPeak_exonCosi	SKNSH_RA_HudsonAlpha_1
wgEncode	Snyder	Stanford	A549	bam	1	NA	wgEncodeSydhTfbs	ChipSeq	Alignments	None	CTCF_(SC-15914)	IgG-rab	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	NA	NA	2dcb86ddd8019efcdbd6b7e88cc76dcf	1.2G	NA	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549CtcfbIggrabAlnRep1.bam	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabAlnRep1.bam	wgEncodeSydhTfbs	ChipSeq	Alignments	None	Input	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002819	2012-02-04	2012-11-03	5538	input	wgEncodeEH002819	NA	NA	e3c1b8fa9b83cb181082decea3ed5c4d	960M	NA	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549InputIggrabAlnRep1.bam	wgEncodeSydhTfbsA549InputIggrabAlnRep1.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeSydhTfbsA549CtcfbIggrabAlnRep1.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549CtcfbIggrabAlnRep1.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeSydhTfbsA549CtcfbIggrabAlnRep1.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeSydhTfbsA549InputIggrabAlnRep1.bam	SydhTfbsA549InputIggrabAlnRep1	SydhTfbsA549CtcfbIggrabAlnRep1	SydhTfbsA549CtcfbIggrabAlnRep1_SydhTfbsA549InputIggrabAlnRep1	/project/umw_zhiping_weng/wespisea/ctcf/macs2/SydhTfbsA549CtcfbIggrabAlnRep1_SydhTfbsA549InputIggrabAlnRep1	/home/wespisea/data/ctcf/MACS2//SydhTfbsA549CtcfbIggrabAlnRep1_SydhTfbsA549InputIggrabAlnRep1_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//SydhTfbsA549CtcfbIggrabAlnRep1_SydhTfbsA549InputIggrabAlnRep1_peaks.narrowPeak_exonCosi	A549_Stanford_1
wgEncode	Snyder	Stanford	GM12878	bam	1	NA	wgEncodeSydhTfbs	ChipSeq	Alignments	None	CTCF_(SC-15914)	std	hg19	ENCODE Jan 2011 Freeze	wgEncodeEH001851	2011-01-20	2011-10-19	3403	exp	wgEncodeEH000625	NA	NA	f4dd7412a968abb7f5e62eee1a80113d	422M	NA	NA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdAlnRep1.bam	NA	NA	wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdAlnRep1.bam	wgEncodeSydhTfbs	ChipSeq	Alignments	TNFa	Input	IgG-rab	hg18	ENCODE June 2010 Freeze	wgEncodeEH002034	2010-03-05	2010-12-05	1366	input	wgEncodeEH002034	NA	remapped from hg18	f20b8ca4cc9a767ce0bd1dea56f238cc	1.1G	NA	2010-06-11	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878InputTnfaIggrabAlnRep1.bam	wgEncodeSydhTfbsGm12878InputTnfaIggrabAlnRep1.bam	NA	NA	NA	NA	NA	NA	NA	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdAlnRep1.bam	wget --continue http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdAlnRep1.bam -O /project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdAlnRep1.bam	/project/umw_zhiping_weng/wespisea/ctcf/data/wgEncodeSydhTfbsGm12878InputTnfaIggrabAlnRep1.bam	SydhTfbsGm12878InputTnfaIggrabAlnRep1	SydhTfbsGm12878Ctcfsc15914c20StdAlnRep1	SydhTfbsGm12878Ctcfsc15914c20StdAlnRep1_SydhTfbsGm12878InputTnfaIggrabAlnRep1	/project/umw_zhiping_weng/wespisea/ctcf/macs2/SydhTfbsGm12878Ctcfsc15914c20StdAlnRep1_SydhTfbsGm12878InputTnfaIggrabAlnRep1	/home/wespisea/data/ctcf/MACS2//SydhTfbsGm12878Ctcfsc15914c20StdAlnRep1_SydhTfbsGm12878InputTnfaIggrabAlnRep1_peaks.narrowPeak	/home/wespisea/data/ctcf/MACS2//SydhTfbsGm12878Ctcfsc15914c20StdAlnRep1_SydhTfbsGm12878InputTnfaIggrabAlnRep1_peaks.narrowPeak_exonCosi	GM12878_Stanford_1
