cell	lab	type	replicate	dataType	rnaExtract	filename
A549	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapFastqRd1Rep1.fastq.gz
A549	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapFastqRd1Rep2.fastq.gz
A549	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapFastqRd2Rep1.fastq.gz
A549	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapFastqRd2Rep2.fastq.gz
AG04450	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapFastqRd1Rep1.fastq.gz
AG04450	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapFastqRd1Rep2.fastq.gz
AG04450	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapFastqRd2Rep1.fastq.gz
AG04450	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapFastqRd2Rep2.fastq.gz
BJ	CSHL	fastq	1	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellPapFastqRd1Rep1.fastq.gz
BJ	CSHL	fastq	2	RnaSeq	longPolyA	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellPapFastqRd1Rep2.fastq.gz
