project	grant	lab	composite	dataType	view	cell	localization	rnaExtract	readType	replicate	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	geoSampleAccession	labExpId	bioRep	seqPlatform	spikeInPool	tableName	type	md5sum	size	labVersion	submittedDataVersion	labProtocolId	donorId	dateResubmitted	objStatus	sex	wgEncodeCshlLongRnaSeqSknshraCellPapFastqRd2Rep1	dccInternalNotes	filename
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Alignments	A549	cell	longNonPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3124	GSM767854	LID9005	021WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaAlnRep1	bam	2aac07f3f113b5bd708915081eb1a11d	7.5G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaAlnRep1.bam
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Alignments	A549	cell	longNonPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3124	GSM767854	LID9005	021WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaAlnRep1	bai	0da3b2adf4f21d5bb50e7cae31b91f2c	6.5M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaAlnRep1.bam.bai
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Alignments	A549	cell	longNonPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3125	GSM767854	LID9006	022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaAlnRep2	bam	6cfac7b713ffd1dac8d96220991fae70	6.6G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaAlnRep2.bam
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Alignments	A549	cell	longNonPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3125	GSM767854	LID9006	022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaAlnRep2	bai	cdfd482d0d8708fff9a3a64f0a488da8	6.5M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaAlnRep2.bam.bai
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	FastqRd1	A549	cell	longNonPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3124	GSM767854	LID9005	021WC	Illumina_GA2x	Nist14	NA	fastq	66118a478dab7d5340a6e21565624b4d	5.0G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaFastqRd1Rep1.fastq.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	FastqRd1	A549	cell	longNonPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3125	GSM767854	LID9006	022WC	Illumina_GA2x	Nist14	NA	fastq	b46f7df44de12eded9e6d2762a6ec130	4.3G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaFastqRd1Rep2.fastq.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	FastqRd2	A549	cell	longNonPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3124	GSM767854	LID9005	021WC	Illumina_GA2x	Nist14	NA	fastq	c5aeefb747af4a34afdca8522f9a120c	5.3G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaFastqRd2Rep1.fastq.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	FastqRd2	A549	cell	longNonPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3125	GSM767854	LID9006	022WC	Illumina_GA2x	Nist14	NA	fastq	133cddeadce29d2beb24985d8e5bb824	4.6G	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaFastqRd2Rep2.fastq.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	MinusSignal	A549	cell	longNonPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3124	GSM767854	LID9005	021WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep1	bigWig	c154c45c5de93dae94786c9f8dc04861	169M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep1.bigWig
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	MinusSignal	A549	cell	longNonPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3125	GSM767854	LID9006	022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep2	bigWig	2dfe4c0935cfb01d7e179a264d607e52	164M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaMinusRawSigRep2.bigWig
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	PlusSignal	A549	cell	longNonPolyA	2x76D	1	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3124	GSM767854	LID9005	021WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep1	bigWig	5f0c5ff9633fc0439d4e926d1e457857	173M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep1.bigWig
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	PlusSignal	A549	cell	longNonPolyA	2x76D	2	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2010-12-23	2011-09-23	3125	GSM767854	LID9006	022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep2	bigWig	6c39308975dd9a3aeb161a76a61b9534	168M	NA	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellLongnonpolyaPlusRawSigRep2.bigWig
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	Contigs	A549	cell	longNonPolyA	2x76D	NA	ENCODE Jan 2011 Freeze	wgEncodeEH000184	2011-02-18	2011-11-18	3601	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	wgEncodeCshlLongRnaSeqA549CellPamContigs	bedRnaElements	b830589743a3a6cb332fac235ecf9224	16M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamContigs.bedRnaElements.gz
wgEncode	Gingeras	CSHL	wgEncodeCshlLongRnaSeq	RnaSeq	ExonsDeNovo	A549	cell	longNonPolyA	2x76D	NA	ENCODE Jul 2012 Freeze	wgEncodeEH000184	2012-05-30	2013-03-02	7017	GSM767854	LID9005,LID9006	021WC,022WC	Illumina_GA2x	Nist14	NA	gff	1b33cf1ab99acdaf7d6a6e8302b79238	11M	iIDR	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeCshlLongRnaSeqA549CellPamExonsDeNovo.gff.gz
