project	grant	lab	composite	dataType	view	cell	treatment	antibody	protocol	replicate	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	setType	controlId	labExpId	type	md5sum	size	geoSampleAccession	softwareVersion	tableName	dateResubmitted	origAssembly	labVersion	objStatus	submittedDataVersion	filename
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	ATF3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL6010	bam	277c8e162ce8672db52f7c37323456c6	1.4G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02AlnRep1.bam
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	ATF3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL6010	bai	e851e3632bf5c369fc1cc654e760e3b0	6.3M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02AlnRep1.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	ATF3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL7273	bam	956f565436c79bafe0f2c21edf6aaf99	1.9G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02AlnRep2.bam
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	ATF3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL7273	bai	02b29b3f62e16d26a96823647f6fd2db	6.5M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02AlnRep2.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Peaks	A549	EtOH_0.02pct	ATF3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL6010	broadPeak	9a033fe031324ce8e9510144c674a79d	117K	GSM1010789	MACS	wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep1.broadPeak.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Peaks	A549	EtOH_0.02pct	ATF3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL7273	broadPeak	e314747374d7d8fbff011d21f63a34e9	132K	GSM1010789	MACS	wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep2	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep2.broadPeak.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	EtOH_0.02pct	ATF3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL6010	fastq	9d583412509a7f6c8b59c186e7668eeb	1.4G	GSM1010789	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawDataRep1.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	EtOH_0.02pct	ATF3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL7273	fastq	a7f8fea140cb20c8a2cc649479735b92	1.9G	GSM1010789	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawDataRep2.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	EtOH_0.02pct	ATF3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL6010	bigWig	87fe3cf050fdbcd40979c41e263d035f	8.1M	GSM1010789	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep1.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	EtOH_0.02pct	ATF3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002288	2011-08-16	2012-05-16	4747	exp	SL6021	SL7273	bigWig	b01534f9d4b9ada083539567ea58c1f8	13M	GSM1010789	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep2	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Atf3V0422111Etoh02RawRep2.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	BCL3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL6596	bam	c086b108a2796a33df5a19bae8be882f	1.7G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02AlnRep1.bam
