project	grant	lab	composite	dataType	view	cell	treatment	antibody	control	replicate	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	setType	controlId	type	md5sum	size	geoSampleAccession	labVersion	tableName	origAssembly	dateResubmitted	objStatus	submittedDataVersion	softwareVersion	filename
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	BHLHE40	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002817	2012-02-04	2012-11-03	5539	exp	wgEncodeEH002819	bam	8b35183010576ba07dcc9cbb02e6195e	586M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Bhlhe40IggrabAlnRep1.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	BHLHE40	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002817	2012-02-04	2012-11-03	5539	exp	wgEncodeEH002819	bai	d99d786747b6943e4daf4a1bfbd41032	6.1M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Bhlhe40IggrabAlnRep1.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	BHLHE40	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002817	2012-02-04	2012-11-03	5539	exp	wgEncodeEH002819	bam	cf7890e7b3cc3a4af99ffbdd1b906e55	490M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Bhlhe40IggrabAlnRep2.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	BHLHE40	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002817	2012-02-04	2012-11-03	5539	exp	wgEncodeEH002819	bai	b4be2ee8b53332d6412ba817e0e81d5f	6.0M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Bhlhe40IggrabAlnRep2.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Peaks	A549	None	BHLHE40	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002817	2012-02-04	2012-11-03	5539	exp	wgEncodeEH002819	narrowPeak	98717e878d6338a04fc6709618d152eb	113K	GSM935440	PeakSeq1.0	wgEncodeSydhTfbsA549Bhlhe40IggrabPk	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Bhlhe40IggrabPk.narrowPeak.gz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	BHLHE40	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002817	2012-02-04	2012-11-03	5539	exp	wgEncodeEH002819	fastq	2fb2181dfe6ac3ac4d085e45f52ad037	1.1G	GSM935440	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Bhlhe40IggrabRawDataRep1.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	BHLHE40	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002817	2012-02-04	2012-11-03	5539	exp	wgEncodeEH002819	fastq	57bb2bbb5ee7c53cb3e0913b35fb508e	861M	GSM935440	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Bhlhe40IggrabRawDataRep2.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Signal	A549	None	BHLHE40	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002817	2012-02-04	2012-11-03	5539	exp	wgEncodeEH002819	bigWig	ba08798aa546c99de28dc79096bc0fb3	385M	GSM935440	PeakSeq1.0	wgEncodeSydhTfbsA549Bhlhe40IggrabSig	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549Bhlhe40IggrabSig.bigWig
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	CEBPB	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002818	2012-02-04	2012-11-03	5537	exp	wgEncodeEH002819	bam	46cfd8500ffc8f8b47a756e6a967608a	590M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CebpbIggrabAlnRep1.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	CEBPB	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002818	2012-02-04	2012-11-03	5537	exp	wgEncodeEH002819	bai	2eee3b7897c68cca70217dee7db7d08c	6.0M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CebpbIggrabAlnRep1.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	CEBPB	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002818	2012-02-04	2012-11-03	5537	exp	wgEncodeEH002819	bam	59ba2b1f42db5369f839cd0f6f5afbca	451M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CebpbIggrabAlnRep2.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	CEBPB	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002818	2012-02-04	2012-11-03	5537	exp	wgEncodeEH002819	bai	72e65651ce79d333aa506c20cd4c0a9c	5.9M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CebpbIggrabAlnRep2.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Peaks	A549	None	CEBPB	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002818	2012-02-04	2012-11-03	5537	exp	wgEncodeEH002819	narrowPeak	d909d96db3f4b8d2412dd7653af29d7e	1.7M	GSM935630	PeakSeq1.0	wgEncodeSydhTfbsA549CebpbIggrabPk	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CebpbIggrabPk.narrowPeak.gz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	CEBPB	IgG-rab	1	ENCODE Mar 2012 Freeze	wgEncodeEH002818	2012-02-04	2012-11-03	5537	exp	wgEncodeEH002819	fastq	4786002c704b97137b161ab2d81d6883	1.1G	GSM935630	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CebpbIggrabRawDataRep1.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	CEBPB	IgG-rab	2	ENCODE Mar 2012 Freeze	wgEncodeEH002818	2012-02-04	2012-11-03	5537	exp	wgEncodeEH002819	fastq	47b7edd8e0be9c8f782577bd3d28ecc9	782M	GSM935630	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CebpbIggrabRawDataRep2.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Signal	A549	None	CEBPB	IgG-rab	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002818	2012-02-04	2012-11-03	5537	exp	wgEncodeEH002819	bigWig	e558b3e4ff02e48c70791c76d8cf054e	388M	GSM935630	PeakSeq1.0	wgEncodeSydhTfbsA549CebpbIggrabSig	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CebpbIggrabSig.bigWig
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	c-Myc	IgG-rab	1	ENCODE Jul 2012 Freeze	wgEncodeEH003385	2012-08-01	2013-05-01	7843	exp	wgEncodeEH002819	bam	581ce2b98c9ff128287dcf5273ef3733	1.2G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CmycIggrabAlnRep1.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	c-Myc	IgG-rab	1	ENCODE Jul 2012 Freeze	wgEncodeEH003385	2012-08-01	2013-05-01	7843	exp	wgEncodeEH002819	bai	8f036aa24277fcab874240e209343a87	6.2M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CmycIggrabAlnRep1.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	c-Myc	IgG-rab	2	ENCODE Jul 2012 Freeze	wgEncodeEH003385	2012-08-01	2013-05-01	7843	exp	wgEncodeEH002819	bam	82316d956cfe83a4584573538800db30	1.3G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CmycIggrabAlnRep2.bam
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	c-Myc	IgG-rab	2	ENCODE Jul 2012 Freeze	wgEncodeEH003385	2012-08-01	2013-05-01	7843	exp	wgEncodeEH002819	bai	a04c774009f4b23e4b4be3535b3f9905	6.3M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CmycIggrabAlnRep2.bam.bai
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Peaks	A549	None	c-Myc	IgG-rab	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003385	2012-08-01	2013-05-01	7843	exp	wgEncodeEH002819	narrowPeak	adfd0e32d5582e6d308e088bba680b08	127K	GSM1003607	NA	wgEncodeSydhTfbsA549CmycIggrabPk	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CmycIggrabPk.narrowPeak.gz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	c-Myc	IgG-rab	1	ENCODE Jul 2012 Freeze	wgEncodeEH003385	2012-08-01	2013-05-01	7843	exp	wgEncodeEH002819	fastq	cdd8deb9a350dab6e64f24e15cf5617c	892M	GSM1003607	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CmycIggrabRawDataRep1.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	RawData	A549	None	c-Myc	IgG-rab	2	ENCODE Jul 2012 Freeze	wgEncodeEH003385	2012-08-01	2013-05-01	7843	exp	wgEncodeEH002819	fastq	9ea890d90d4a8cc6153ee281cab5d602	979M	GSM1003607	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CmycIggrabRawDataRep2.fastq.tgz
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Signal	A549	None	c-Myc	IgG-rab	NA	ENCODE Jul 2012 Freeze	wgEncodeEH003385	2012-08-01	2013-05-01	7843	exp	wgEncodeEH002819	bigWig	dd49e94d886076d1b5bb80b932edb4a5	346M	GSM1003607	NA	wgEncodeSydhTfbsA549CmycIggrabSig	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CmycIggrabSig.bigWig
wgEncode	Snyder	Stanford	wgEncodeSydhTfbs	ChipSeq	Alignments	A549	None	CTCF_(SC-15914)	IgG-rab	1	ENCODE Jul 2012 Freeze	wgEncodeEH003384	2012-08-01	2013-05-01	7842	exp	wgEncodeEH002819	bam	2dcb86ddd8019efcdbd6b7e88cc76dcf	1.2G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeSydhTfbsA549CtcfbIggrabAlnRep1.bam
