project	grant	lab	composite	dataType	view	cell	antibody	control	replicate	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	geoSampleAccession	setType	controlId	seqPlatform	type	md5sum	size	tableName	filename
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	Alignments	K562	eGFP-FOS	Control_eGFP-FOS	1	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	bam	ff072d5cad866bbf58a8b6c823bfeeb0	593M	NA	wgEncodeUchicagoTfbsK562EfosControlAlnRep1.bam
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	Alignments	K562	eGFP-FOS	Control_eGFP-FOS	1	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	bai	96db0712a084a03a9ded2f3340485e9d	5.8M	NA	wgEncodeUchicagoTfbsK562EfosControlAlnRep1.bam.bai
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	Peaks	K562	eGFP-FOS	Control_eGFP-FOS	NA	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	narrowPeak	2a6280868b59db45c28f4bd94ab6c9da	478K	wgEncodeUchicagoTfbsK562EfosControlPk	wgEncodeUchicagoTfbsK562EfosControlPk.narrowPeak.gz
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	RawData	K562	eGFP-FOS	Control_eGFP-FOS	1	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	fastq	9935e947c7ed31bb7195b35c999628bd	790M	NA	wgEncodeUchicagoTfbsK562EfosControlRawDataRep1.fastq.gz
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	Signal	K562	eGFP-FOS	Control_eGFP-FOS	NA	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	bigWig	c7fb5effb153da5168b5c039a92f3a93	280M	wgEncodeUchicagoTfbsK562EfosControlSig	wgEncodeUchicagoTfbsK562EfosControlSig.bigWig
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	Alignments	K562	eGFP-FOS	Control_eGFP-FOS	2	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	bam	3fd0e58f252d989eb584d42d292906fa	509M	NA	wgEncodeUchicagoTfbsK562EfosControlfosAlnRep2.bam
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	Alignments	K562	eGFP-FOS	Control_eGFP-FOS	2	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	bai	96dba3f7610bc8222406d33015605d1a	5.8M	NA	wgEncodeUchicagoTfbsK562EfosControlfosAlnRep2.bam.bai
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	Alignments	K562	eGFP-FOS	Control_eGFP-FOS	3	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	bam	11f08557c08af8d1c2a5291c74e33f5b	380M	NA	wgEncodeUchicagoTfbsK562EfosControlfosAlnRep3.bam
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	Alignments	K562	eGFP-FOS	Control_eGFP-FOS	3	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	bai	e4eed90af366d15e971bc492410228e2	5.7M	NA	wgEncodeUchicagoTfbsK562EfosControlfosAlnRep3.bam.bai
wgEncode	White	UChicago	wgEncodeUchicagoTfbs	ChipSeq	RawData	K562	eGFP-FOS	Control_eGFP-FOS	2	ENCODE Jan 2011 Freeze	wgEncodeEH001207	2011-01-27	2011-10-27	3310	GSM777644	exp	K562/Input/Control_eGFP-FOS	Illumina_GA2	fastq	570525d41fdb33981b63f962d0cbfaa1	600M	NA	wgEncodeUchicagoTfbsK562EfosControlfosRawDataRep2.fastq.gz
