project	grant	lab	composite	dataType	view	cell	treatment	antibody	control	replicate	origAssembly	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	setType	controlId	labExpId	labVersion	type	md5sum	size	geoSampleAccession	tableName	dateResubmitted	donorId	filename
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	A549	None	CTCF	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4385	exp	wgEncodeEH001904	DS18303	Bowtie 0.12.7	bam	49542721c598d72bc64a4ef7a333eec4	319M	NA	NA	NA	NA	wgEncodeUwTfbsA549CtcfStdAlnRep1.bam
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	A549	None	CTCF	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4385	exp	wgEncodeEH001904	DS18303	Bowtie 0.12.7	bai	56adf096d1c9ba11b054a7a7faa2070e	5.5M	NA	NA	NA	NA	wgEncodeUwTfbsA549CtcfStdAlnRep1.bam.bai
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	A549	None	CTCF	std	2	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4384	exp	wgEncodeEH001904	DS18302	Bowtie 0.12.7	bam	4ba84dd8132f471526cd5e81cbb76752	572M	NA	NA	NA	NA	wgEncodeUwTfbsA549CtcfStdAlnRep2.bam
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	A549	None	CTCF	std	2	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4384	exp	wgEncodeEH001904	DS18302	Bowtie 0.12.7	bai	3bbd1d369d630acc62ca88ecef469686	5.8M	NA	NA	NA	NA	wgEncodeUwTfbsA549CtcfStdAlnRep2.bam.bai
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Hotspots	A549	None	CTCF	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4385	exp	wgEncodeEH001904	DS18303	Hotspot-v5.2	broadPeak	856bd2f28c1a631a82ac1cad5c455861	1.4M	GSM1022640	wgEncodeUwTfbsA549CtcfStdHotspotsRep1	NA	NA	wgEncodeUwTfbsA549CtcfStdHotspotsRep1.broadPeak.gz
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Hotspots	A549	None	CTCF	std	2	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4384	exp	wgEncodeEH001904	DS18302	Hotspot-v5.2	broadPeak	40792772bef798cc6fae97418c4dd95a	2.8M	GSM1022639	wgEncodeUwTfbsA549CtcfStdHotspotsRep2	NA	NA	wgEncodeUwTfbsA549CtcfStdHotspotsRep2.broadPeak.gz
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Peaks	A549	None	CTCF	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4385	exp	wgEncodeEH001904	DS18303	lmax-v1.0	narrowPeak	ec0e5a0e816cd54f88a504691ca7db39	582K	GSM1022640	wgEncodeUwTfbsA549CtcfStdPkRep1	NA	NA	wgEncodeUwTfbsA549CtcfStdPkRep1.narrowPeak.gz
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Peaks	A549	None	CTCF	std	2	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4384	exp	wgEncodeEH001904	DS18302	lmax-v1.0	narrowPeak	b9276c97fe64d2aeb9b193e1852d731d	925K	GSM1022639	wgEncodeUwTfbsA549CtcfStdPkRep2	NA	NA	wgEncodeUwTfbsA549CtcfStdPkRep2.narrowPeak.gz
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	RawData	A549	None	CTCF	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4385	exp	wgEncodeEH001904	DS18303	NA	fastq	000258d70400dcf5a68f564e1103700c	463M	GSM1022640	NA	NA	NA	wgEncodeUwTfbsA549CtcfStdRawDataRep1.fastq.gz
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	RawData	A549	None	CTCF	std	2	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4384	exp	wgEncodeEH001904	DS18302	NA	fastq	ee063e64b13d38d0bb3d8df46032b879	703M	GSM1022639	NA	NA	NA	wgEncodeUwTfbsA549CtcfStdRawDataRep2.fastq.gz
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	RawSignal	A549	None	CTCF	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4385	exp	wgEncodeEH001904	DS18303	WindowDensity-bin20-win+/-75	bigWig	241230d779c8dce844563bc8faadedbb	26M	GSM1022640	wgEncodeUwTfbsA549CtcfStdRawRep1	NA	NA	wgEncodeUwTfbsA549CtcfStdRawRep1.bigWig
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	RawSignal	A549	None	CTCF	std	2	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001890	2011-06-25	2012-03-24	4384	exp	wgEncodeEH001904	DS18302	WindowDensity-bin20-win+/-75	bigWig	2e383312d907a17672c842506aeb6b82	96M	GSM1022639	wgEncodeUwTfbsA549CtcfStdRawRep2	NA	NA	wgEncodeUwTfbsA549CtcfStdRawRep2.bigWig
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	A549	None	Input	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001904	2011-06-29	2012-03-29	4350	input	wgEncodeEH001904	DS18301	Bowtie 0.12.7	bam	78344e37ca386f993eea9a4705db5d8a	660M	NA	NA	NA	NA	wgEncodeUwTfbsA549InputStdAlnRep1.bam
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	A549	None	Input	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001904	2011-06-29	2012-03-29	4350	input	wgEncodeEH001904	DS18301	Bowtie 0.12.7	bai	1493841684f38afdf8c247bc364f07fa	6.0M	NA	NA	NA	NA	wgEncodeUwTfbsA549InputStdAlnRep1.bam.bai
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	RawData	A549	None	Input	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001904	2011-06-29	2012-03-29	4350	input	wgEncodeEH001904	DS18301	NA	fastq	a230574b8322d859e9b1341d134c6217	685M	GSM1022674	NA	NA	NA	wgEncodeUwTfbsA549InputStdRawDataRep1.fastq.gz
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	RawSignal	A549	None	Input	std	1	hg19	ENCODE Mar 2012 Freeze	wgEncodeEH001904	2011-06-29	2012-03-29	4350	input	wgEncodeEH001904	DS18301	WindowDensity-bin20-win+/-75	bigWig	14eaea24d3e62bfa394ef44519dd6068	151M	GSM1022674	wgEncodeUwTfbsA549InputStdRawRep1	NA	NA	wgEncodeUwTfbsA549InputStdRawRep1.bigWig
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	AG04449	None	CTCF	std	1	hg19	ENCODE Jan 2011 Freeze	wgEncodeEH000975	2010-10-22	2011-07-22	2596	exp	wgEncodeEH000928	DS15738	Bowtie 0.12.7	bam	5fdf7aebf103b888d7e68f6223b37bed	329M	GSM749695	NA	NA	NA	wgEncodeUwTfbsAg04449CtcfStdAlnRep1.bam
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	AG04449	None	CTCF	std	1	hg19	ENCODE Jan 2011 Freeze	wgEncodeEH000975	2010-10-22	2011-07-22	2596	exp	wgEncodeEH000928	DS15738	Bowtie 0.12.7	bai	0f96b0908db34e8b3120136b3387afb1	5.6M	GSM749695	NA	NA	NA	wgEncodeUwTfbsAg04449CtcfStdAlnRep1.bam.bai
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	AG04449	None	CTCF	std	2	hg19	ENCODE Jan 2011 Freeze	wgEncodeEH000975	2010-10-22	2011-07-22	2595	exp	wgEncodeEH000928	DS15736	Bowtie 0.12.7	bam	a6f07d4c02fb29cab8ad11e87b087fff	946M	GSM749678	NA	NA	NA	wgEncodeUwTfbsAg04449CtcfStdAlnRep2.bam
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Alignments	AG04449	None	CTCF	std	2	hg19	ENCODE Jan 2011 Freeze	wgEncodeEH000975	2010-10-22	2011-07-22	2595	exp	wgEncodeEH000928	DS15736	Bowtie 0.12.7	bai	f92d8f6b4f567b1d221e690ad28cab6c	6.0M	GSM749678	NA	NA	NA	wgEncodeUwTfbsAg04449CtcfStdAlnRep2.bam.bai
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Hotspots	AG04449	None	CTCF	std	1	hg19	ENCODE Jan 2011 Freeze	wgEncodeEH000975	2010-10-22	2011-07-22	2596	exp	wgEncodeEH000928	DS15738	Hotspot-v5.1	broadPeak	542e81346cc655f95b3e7dfd7dfe2515	2.4M	GSM749695	wgEncodeUwTfbsAg04449CtcfStdHotspotsRep1	NA	NA	wgEncodeUwTfbsAg04449CtcfStdHotspotsRep1.broadPeak.gz
wgEncode	Stam	UW	wgEncodeUwTfbs	ChipSeq	Hotspots	AG04449	None	CTCF	std	2	hg19	ENCODE Jan 2011 Freeze	wgEncodeEH000975	2010-10-22	2011-07-22	2595	exp	wgEncodeEH000928	DS15736	Hotspot-v5.1	broadPeak	a0f8101e7d0716fe28dfec0849cb013a	3.2M	GSM749678	wgEncodeUwTfbsAg04449CtcfStdHotspotsRep2	NA	NA	wgEncodeUwTfbsAg04449CtcfStdHotspotsRep2.broadPeak.gz
