"label"	"H1hESC.expr"	"HepG2.expr"	"K562.expr"	"MCF7.expr"	"SKNSH_RA.expr"	"A549.expr"	"GM12878.expr"	"IMR90.expr"	"SKNSH.expr"	"AG04450.expr"	"BJ.expr"	"HUVEC.expr"	"HeLaS3.expr"	"NHEK.expr"	"NHLF.expr"	"H1hESC.peakCount"	"HepG2.peakCount"	"K562.peakCount"	"MCF7.peakCount"	"SKNSH_RA.peakCount"	"A549.peakCount"	"GM12878.peakCount"	"IMR90.peakCount"	"SKNSH.peakCount"	"AG04450.peakCount"	"BJ.peakCount"	"HUVEC.peakCount"	"HeLaS3.peakCount"	"NHEK.peakCount"	"NHLF.peakCount"	"H1hESC.foldChange"	"HepG2.foldChange"	"K562.foldChange"	"MCF7.foldChange"	"SKNSH_RA.foldChange"	"A549.foldChange"	"GM12878.foldChange"	"IMR90.foldChange"	"SKNSH.foldChange"	"AG04450.foldChange"	"BJ.foldChange"	"HUVEC.foldChange"	"HeLaS3.foldChange"	"NHEK.foldChange"	"NHLF.foldChange"	"peakCountSumRaw"	"peakCountSum"	"exprCount"	"PSIave"	"FoldChangeave"	"FoldChangeaveGroup"	"FoldChangeVar"	"PSIVar"	"peakFracExpr"	"peakFracExprGroup"	"pearsonCorr"	"pearsonCorrPvalue"	"wilcoxCorrPvalue"	"alpha"	"M"	"j"
"3064"	"chr10:135010562-135010639_+"	0.83333	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.52746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.9583325	5.381865	"(5,10]"	115.8578835129	0.006944722225	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	1
"3065"	"chr10:135010562-135010639_+"	0.83333	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.52746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.9583325	5.381865	"(5,10]"	115.8578835129	0.006944722225	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	2
"3194"	"chr10:135122894-135122967_+"	0.9716	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.998106666666667	0.515187333333333	"(0,5]"	3.98126982640667	5.37706666666666e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	3
"3195"	"chr10:135122894-135122967_+"	0.9716	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.998106666666667	0.515187333333333	"(0,5]"	3.98126982640667	5.37706666666666e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	4
"3196"	"chr10:135122894-135122967_+"	0.9716	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0.998106666666667	0.515187333333333	"(0,5]"	3.98126982640667	5.37706666666666e-05	0.0666666666666667	NA	-1	0	NA	0.05	7251	5
"11103"	"chr11:12029917-12030155_-"	1	NA	NA	NA	1	NA	NA	1	1	1	1	1	NA	0.99662	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.32555	0	1	1	9	0.999624444444444	0.591727777777778	"(0,5]"	3.15127586694444	1.26937777777782e-06	0.111111111111111	"(0.0667,0.133]"	-1	0	NA	0.05	7251	6
"11554"	"chr11:124763756-124763941_-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98991	NA	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.64483	0	0	0	1	1	3	0.996636666666667	2.21494333333333	"(0,5]"	14.7179219096333	3.39360333333336e-05	0.333333333333333	"(0.267,0.333]"	-1	0	NA	0.05	7251	7
"11555"	"chr11:124763756-124763941_-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98991	NA	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.64483	0	0	0	1	1	3	0.996636666666667	2.21494333333333	"(0,5]"	14.7179219096333	3.39360333333336e-05	0.333333333333333	"(0.267,0.333]"	-1	0	NA	0.05	7251	8
"14034"	"chr11:3422989-3423097_+"	1	NA	0.90588	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70901	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.97647	1.1772525	"(0,5]"	5.543693795025	0.0022146436	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	9
"14035"	"chr11:3422989-3423097_+"	1	NA	0.90588	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70901	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.97647	1.1772525	"(0,5]"	5.543693795025	0.0022146436	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	10
"14036"	"chr11:3423843-3423959_+"	1	NA	0.93878	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70901	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.984695	1.1772525	"(0,5]"	5.543693795025	0.000936972100000002	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	11
"14037"	"chr11:3423843-3423959_+"	1	NA	0.93878	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70901	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.984695	1.1772525	"(0,5]"	5.543693795025	0.000936972100000002	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	12
"14038"	"chr11:3423843-3423959_+"	1	NA	0.93878	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70901	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.984695	1.1772525	"(0,5]"	5.543693795025	0.000936972100000002	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	13
"14041"	"chr11:3424823-3424882_+"	1	NA	0.94189	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.08936	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0.9854725	3.02234	"(0,5]"	36.5381563024	0.000844193025	0.25	"(0.2,0.267]"	-1	0	NA	0.05	7251	14
